Title,Repository Label,Milestone Name,Dependencies,Start Date,Target Date,Execution Order,Status,Tasks
"M0 Board Bootstrap","NEO-FlowOFF/org","M0 Board Bootstrap","None","2026-03-16","2026-03-17","1","Todo","Create organization GitHub Project; Create custom roadmap fields; Import roadmap items as draft issues"
"M1 Canonical Token Path","neoflw-token","M1 Canonical Token Path","M0 Board Bootstrap","2026-03-16","2026-03-20","2","Todo","Choose canonical token network; Retire non-canonical documentation branches; Generate single deployment manifest; Normalize addresses consumed by PWA and miniapp"
"M2 On-chain Readiness","neoflw-token","M2 On-chain Readiness","M1 Canonical Token Path","2026-03-23","2026-03-31","3","Todo","Verify contracts in canonical explorer; Fund StakingVault; Decide GamificationController go-live; Consolidate liquidity and token distribution operations"
"M3 Real Integrations Core","neo-flowoff-pwa","M3 Real Integrations Core","M1 Canonical Token Path","2026-03-23","2026-04-03","4","Todo","Replace MCP router mocks with real integrations; Implement real EIP-712 verification; Integrate real FlowPay client; Persist fallback and logs to decentralized stack"
"M4 UI Hardening","neo-flowoff-pwa","M4 UI Hardening","M3 Real Integrations Core","2026-03-30","2026-04-10","5","Todo","Complete Fase 5 tests; Complete Fase 6 documentation; Validate compatibility with legacy loaders; Confirm build and test stability"
"M5 Product Modules Wave 1","neo-flowoff-pwa","M5 Product Modules Wave 1","M3 Real Integrations Core","2026-04-06","2026-04-17","6","Todo","Implement WOD[X]PRO real module; Implement FLUXX real module; Add MCP intents; Connect frontend cards to real backends; Publish minimal module docs"
"M6 Product Modules Wave 2","neo-flowoff-pwa","M6 Product Modules Wave 2","M5 Product Modules Wave 1","2026-04-20","2026-05-01","7","Todo","Implement RUN NEØ module; Implement NEØ SMART FACTORY module; Add navigation and dedicated pages; Connect both modules to backend capabilities"
"M7 Wallet Referral and Metrics","ceo-escalavel-miniapp","M7 Wallet Referral and Metrics","M1 Canonical Token Path","2026-03-30","2026-04-10","8","Todo","Set production VITE_REOWN_PROJECT_ID; Implement start_param tracking; Create trackable referral rewards; Fix premium store copy; Add conversion metrics dashboard"
"M8 Token Utility and Retention","ceo-escalavel-miniapp","M8 Token Utility and Retention","M2 On-chain Readiness; M7 Wallet Referral and Metrics","2026-04-13","2026-04-24","9","Todo","Enable real wallet connect; Implement mint or airdrop flow aligned to canonical token; Add bot notifications; Add leaderboard and daily tasks; Test maturity-based paywalls"
"M9 Conversion Infrastructure","neo-flw-landing","M9 Conversion Infrastructure","M0 Board Bootstrap","2026-04-06","2026-04-17","10","Todo","Implement public /api/health endpoint; Add Meta Pixel client-side base events; Add Meta CAPI server-side high-value events; Add low-latency operations callback; Decide stealth middleware now or later"
"M10 Reliability Hardening","neoflow-content-machine","M10 Reliability Hardening","M0 Board Bootstrap","2026-03-23","2026-04-10","11","Todo","Migrate console.log to logger; Expand critical test coverage; Complete Instagram LinkedIn Farcaster and Blog distributors; Publish API documentation"
"M11 Launch Content Execution","neoflow-content-machine","M11 Launch Content Execution","M9 Conversion Infrastructure; M10 Reliability Hardening","2026-04-13","2026-04-24","12","Todo","Promote FlowOFF launch assets from planned to approved pipeline; Produce launch sequence; Validate distribution by channel; Prepare scheduled posting"
"M12 Funnel Automation","pro-ia","M12 Funnel Automation","M0 Board Bootstrap","2026-04-20","2026-05-08","13","Todo","Choose CRM and marketing automation stack; Automate form to payment to portal access flow; Create non-conversion follow-up; Centralize lead scoring and dashboards"
"M13 Content and Analytics Closure","pro-ia","M13 Content and Analytics Closure","M12 Funnel Automation","2026-05-11","2026-05-22","14","Todo","Finish pending blog CTA and checklist blocks; Complete Post 3 draft; Instrument weekly conversion retention and productivity metrics"
